Gender,LoanDuration,Age,Amount,DebtToIncome,Education,ExistingLiabilities,OccupationArea,default
0,48,30,3000,37.53,3,3,10,Yes
0,12,22,500,6.79,2,1,4,No
1,48,54,1000,4.15,5,1,1,Yes
1,36,42,3300,42.23,5,6,14,No
1,36,46,1800,31.05,4,2,7,No
1,12,32,1000,40.41,5,6,10,No
1,36,28,4000,28.23,5,3,1,No
0,24,30,2000,20,4,4,3,No
0,24,37,500,9.1,5,4,7,No
0,12,26,1100,38.18,5,4,8,No
1,48,62,1700,26.08,5,4,1,No
0,48,21,1500,4.58,2,1,9,No
0,36,30,700,25.3,1,2,8,No
0,48,36,1000,5.78,3,1,19,No
0,36,27,1000,5.42,2,1,6,No
0,24,29,5000,61.6,4,6,9,No
0,12,24,500,13.94,4,2,7,No
0,48,27,2500,6.68,4,3,1,Yes
1,12,38,1000,20.13,4,2,7,No
0,48,27,4000,27.04,2,5,18,No
1,12,42,600,21.45,3,5,1,No
0,48,43,1200,20.35,4,4,3,Yes
1,48,25,5700,61.14,4,3,3,No
0,36,49,1800,4.29,3,4,8,Yes
0,36,25,2000,24.5,5,2,7,No
1,36,45,1800,6.96,5,2,10,Yes
0,12,45,800,22.03,3,2,3,No
1,24,44,2000,16.96,4,2,1,Yes
0,12,21,1000,20.78,4,2,6,No
1,36,26,2300,22.86,4,3,7,Yes
0,36,29,1300,4.07,5,1,1,No
1,36,36,2000,7.14,4,2,11,No
0,12,37,900,23.7,5,3,10,No
1,36,28,1000,25.86,5,4,1,No
0,12,37,500,11.43,4,3,18,No
0,24,35,1000,55.79,4,10,16,No
0,48,61,900,51.78,2,5,6,No
0,12,34,500,3.8,5,2,6,No
1,36,46,3000,34.4,2,7,1,Yes
0,12,28,1500,41.14,2,4,6,No
0,24,42,2500,35.7,5,5,8,No
0,24,39,2000,33.94,3,3,17,No
1,24,50,1000,14.82,5,5,15,No
0,36,28,2280,7.85,3,1,1,Yes
1,48,44,10000,22.02,4,2,7,Yes
0,12,31,500,6.06,3,1,10,No
0,48,52,3000,11.03,2,1,6,Yes
2,12,43,600,21.58,5,2,9,No
1,36,27,1300,33.19,2,5,19,Yes
1,36,37,1000,31.36,2,3,1,No
0,48,55,3500,8.97,5,3,8,No
0,36,30,3000,9.3,3,3,6,Yes
0,36,21,1500,12.04,4,1,1,Yes
0,48,27,5000,35.48,2,1,10,Yes
0,36,45,1500,17.52,5,5,1,No
0,24,26,5000,49,5,6,17,No
0,12,44,3000,12.41,5,1,1,No
1,48,22,3000,36.06,4,3,9,No
0,12,41,1500,26.66,5,4,15,No
0,12,29,1000,29.79,4,5,10,No
1,48,35,1500,50.05,4,8,10,No
1,48,29,10000,18.39,5,2,8,No
1,48,32,500,24.75,3,3,16,Yes
1,36,30,3000,24.62,4,2,7,No
0,36,29,960,11.22,5,2,14,Yes
0,24,33,2500,16.97,3,4,1,No
1,36,65,2450,5.38,3,1,1,No
0,36,54,1000,7.39,5,1,9,No
1,36,28,1800,29.21,2,3,17,No
1,24,53,2000,34.66,4,4,15,Yes
1,12,52,1100,13.37,5,1,1,No
1,12,24,5000,60.41,5,3,7,No
0,48,31,1500,8.27,3,2,15,No
1,48,30,2500,30.19,5,7,1,Yes
1,36,37,2000,27.45,5,3,15,No
1,48,49,3500,32.68,4,1,7,Yes
1,36,34,1000,3.66,4,2,1,No
0,48,42,1000,6.3,1,2,7,No
0,36,33,3000,18.27,4,1,14,No
1,36,32,500,8.18,3,2,16,No
0,48,36,500,11.18,4,4,15,Yes
0,36,57,1500,2.58,4,2,8,Yes
0,36,33,1000,44.49,5,4,17,No
0,12,40,3000,15.99,3,2,7,No
0,12,35,1500,31.09,3,2,7,Yes
0,24,25,1000,37.17,4,5,13,No
2,48,29,1200,13.35,5,3,1,Yes
1,48,38,2500,13.97,3,1,17,Yes
1,36,25,500,36.48,2,2,14,No
0,24,38,2000,16.18,5,4,15,No
0,36,31,2000,15.71,3,2,10,No
0,48,36,8500,19.24,5,1,14,No
1,12,39,800,9.37,4,1,10,No
1,48,21,2200,26.19,4,1,7,No
0,48,24,600,10.6,4,2,8,Yes
0,48,54,3000,14.9,4,2,8,No
0,36,36,3000,29.23,4,2,1,Yes
1,36,40,4000,16.48,5,3,9,No
1,48,40,4000,37.77,2,5,19,No
0,48,29,1000,38.34,2,5,3,No
0,48,28,2100,46.58,5,7,9,No
0,12,26,500,44.13,4,4,16,No
0,48,46,800,17.66,5,4,13,Yes
0,12,33,2000,29.28,4,3,9,No
0,12,59,1500,25.1,4,4,3,No
0,24,35,1500,33.35,5,4,15,No
0,48,36,2000,20.98,4,7,1,Yes
0,36,22,1000,32.01,5,2,7,No
1,36,36,900,3.04,4,1,14,Yes
1,12,33,500,9.82,5,2,16,No
1,12,48,3000,29.68,2,4,1,No
0,12,37,2000,16.71,5,1,17,No
1,24,39,500,4.36,3,1,17,Yes
0,36,33,3500,19.65,4,2,8,No
1,36,25,4000,29.38,4,3,3,No
0,36,44,2000,9.77,3,1,10,Yes
1,24,40,6000,50.77,4,4,1,No
1,24,48,2000,6.27,4,1,17,Yes
1,48,25,5000,27.9,3,4,1,No
0,48,33,8000,19.9,2,3,1,Yes
0,48,63,2000,19.06,3,2,1,Yes
0,36,38,4500,12.7,4,2,10,No
0,36,36,1800,23.96,5,3,7,No
1,12,42,500,42.12,5,7,1,No
0,36,35,2000,9.52,5,1,10,No
0,48,45,2700,43.68,5,7,15,No
0,12,41,500,24.02,3,4,13,No
1,12,42,1000,11.32,4,2,9,No
1,48,30,1200,9.13,3,1,1,No
0,36,25,1500,2.51,5,1,8,Yes
1,36,26,3510,16.81,3,2,17,No
0,36,28,2000,54.48,3,3,4,No
0,36,24,500,6.62,2,1,1,No
1,48,30,3500,35.94,5,5,11,Yes
1,48,50,10000,21.91,5,6,14,No
0,12,27,600,22.33,5,2,7,No
0,24,37,2000,21.24,3,2,7,Yes
1,24,27,2500,18.84,5,1,3,No
1,12,50,800,13.86,4,3,1,No
0,12,46,1200,25.27,4,3,17,No
1,12,52,800,24.59,4,5,10,No
0,48,34,5000,8.74,5,3,11,No
0,48,24,1100,9.03,4,1,1,Yes
0,36,29,500,10.53,4,2,8,Yes
1,48,35,1000,11.91,3,2,7,Yes
1,36,39,1000,34.32,5,5,17,No
0,12,32,1500,25.07,2,1,6,No
1,24,53,500,5.56,4,2,3,No
1,48,41,500,51.14,4,5,7,No
0,36,41,3000,31.45,4,1,1,No
0,48,48,1000,5.68,4,2,6,No
0,48,37,6630,41.64,3,4,13,No
0,36,42,1500,9.88,4,2,3,No
1,24,36,1000,35.92,4,5,7,No
0,12,24,1000,8.49,4,1,8,No
1,24,40,2000,19.27,5,4,15,Yes
0,36,24,3600,9.5,3,1,6,Yes
1,24,29,2600,18.59,2,1,1,No
1,12,27,1400,25.54,4,1,1,No
0,12,47,500,3.32,4,1,5,No
1,36,21,500,1.13,3,1,9,Yes
1,36,61,3700,2.55,5,2,17,No
1,24,31,3000,48.27,5,4,14,No
1,36,52,1000,20.55,4,5,8,No
0,48,46,3500,19.06,3,2,2,Yes
1,24,36,3000,37.27,2,6,7,No
0,48,34,5000,11.7,4,3,1,No
0,36,59,1500,2.44,4,1,12,Yes
0,36,44,3000,8.06,3,1,1,No
0,24,45,3000,37.95,4,2,9,Yes
0,36,46,2000,16.67,3,3,6,No
0,48,30,3000,24,5,3,16,No
1,24,56,1000,8.93,4,2,3,No
0,24,27,4000,42.95,5,3,15,Yes
0,12,48,2000,10.67,3,2,6,No
0,12,26,500,40.06,5,9,10,No
1,48,33,2500,22.45,2,3,3,No
1,36,36,7100,40.89,5,3,16,No
1,48,47,2000,30.88,5,2,17,No
0,36,27,5000,62.19,3,4,9,No
0,36,22,700,2.95,3,1,8,Yes
0,36,33,2500,42.24,2,4,8,No
1,48,43,2500,36.91,3,4,14,Yes
1,12,67,700,24.93,3,2,1,Yes
0,24,27,1000,5.39,5,1,10,No
0,48,48,7000,35.74,5,4,1,Yes
1,36,44,1000,43.94,5,6,7,No
0,48,43,2500,6.82,1,2,15,No
1,36,45,2000,24.95,4,3,1,No
1,36,48,500,28.29,4,4,17,No
0,12,29,2500,20.25,3,2,6,No
1,36,39,1100,35.12,2,6,3,Yes
0,12,36,1000,37.49,5,5,14,No
1,36,28,1500,34.59,5,7,15,Yes
0,12,34,1000,36.54,4,4,6,No
0,24,21,600,20.49,4,4,3,No
1,36,37,2000,35.69,4,7,1,Yes
0,36,41,1900,9.4,4,3,10,No
1,48,25,500,35.38,2,3,1,No
0,36,40,1000,9.94,4,4,19,No
0,12,36,1000,11.85,4,1,17,Yes
0,48,37,500,3.66,4,3,7,No
1,36,33,1200,12.23,3,2,1,No
0,12,31,500,3.19,4,1,8,No
0,12,21,2500,20.73,5,1,9,Yes
0,48,41,5000,23.04,4,2,3,No
1,12,57,500,8.47,5,1,17,Yes
0,12,25,1500,5.17,3,1,18,No
0,36,24,2300,33.17,4,3,15,No
0,36,47,1600,8.53,5,1,9,Yes
1,12,29,1900,35.55,4,2,5,No
0,48,37,4500,8.38,4,2,10,Yes
0,24,30,2000,18.53,5,2,1,Yes
1,48,21,4000,21.85,4,2,1,No
1,36,33,10000,24.11,3,2,1,No
1,12,22,1000,46.03,4,4,1,Yes
0,36,23,2500,19.61,3,4,8,Yes
0,36,39,7000,18.74,4,1,6,No
1,24,32,10000,55.78,5,2,1,No
0,12,29,600,6.7,4,2,3,No
0,48,58,5000,13.33,4,3,6,Yes
0,36,35,6000,68.07,4,7,11,No
0,48,48,755,8.88,1,1,1,No
0,24,38,1100,6.27,4,2,10,Yes
0,36,43,7000,24.31,5,4,17,No
1,48,30,1000,41.12,4,10,6,No
0,36,22,920,12.28,3,1,3,No
1,36,45,4100,44.08,4,2,7,No
0,12,30,1300,14.4,3,1,9,No
0,36,29,1000,23.21,3,4,1,Yes
0,12,33,1000,39.29,5,6,10,No
1,48,51,3000,2.78,2,2,1,No
0,12,25,500,32.72,2,4,1,No
1,36,67,1500,16.88,2,2,1,Yes
1,48,49,3000,10.82,5,1,1,No
1,36,35,2000,35.04,4,4,6,Yes
0,48,25,500,24.31,4,5,8,No
1,24,33,5000,23.63,4,3,3,No
0,24,30,1800,11.67,4,1,1,Yes
1,48,35,7500,60.64,5,8,17,Yes
2,48,36,5000,38.89,2,2,3,No
1,48,31,1500,10.97,2,2,7,No
1,48,25,500,22.55,5,5,10,No
0,36,69,500,7.61,3,2,1,No
0,48,38,1200,26.03,4,4,7,Yes
0,48,36,5000,7.12,5,5,15,No
0,36,70,600,14.31,3,2,6,No
0,12,24,600,10.23,4,3,1,No
0,48,30,3300,41.09,2,2,3,No
1,48,21,500,8.96,2,2,9,No
0,24,58,800,22.28,4,4,8,No
0,36,33,800,38.45,3,3,8,Yes
1,36,23,700,47.28,5,3,9,No
1,48,21,1770,37.53,3,7,17,No
0,36,33,1500,7.8,4,3,10,Yes
0,36,38,500,9.8,5,2,7,No
0,36,23,3000,25.84,5,1,7,Yes
0,12,36,800,53.58,4,5,1,No
0,36,24,1670,35.13,3,1,9,Yes
1,36,47,1000,12.09,5,4,17,No
0,36,30,10000,58.16,5,7,10,No
0,48,39,10000,31.81,3,2,1,Yes
0,36,22,1800,6.96,5,1,18,No
0,36,34,4500,13.14,5,2,15,No
1,48,26,1000,30.99,5,6,16,No
0,36,36,2000,7.17,3,1,1,No
1,36,24,2000,24.46,5,1,1,No
0,36,37,800,14.68,4,5,8,No
1,36,43,2200,32.74,3,2,14,No
1,48,38,1800,6.23,3,1,17,Yes
1,24,22,500,7.66,4,2,7,No
1,36,46,1520,34.49,5,6,13,Yes
1,48,33,5005,39.72,2,5,3,No
0,36,38,6000,4.95,4,5,12,Yes
1,48,22,500,7.17,3,1,7,Yes
1,48,62,2500,13.71,5,2,17,No
0,48,30,1300,36.88,3,4,12,Yes
1,36,27,1400,35.01,4,5,16,No
1,12,38,1500,13.78,5,2,10,Yes
0,24,45,3000,29.89,4,1,9,Yes
0,12,29,2600,18.15,4,1,17,No
0,48,26,1600,32.06,4,2,1,No
1,36,27,1000,37.22,3,3,3,Yes
0,48,30,2000,9.02,3,2,17,No
0,36,26,4000,12.76,2,2,14,No
1,12,60,1000,21.39,5,1,1,No
0,48,25,4000,19.99,4,2,7,Yes
0,48,28,5000,36.8,5,2,12,Yes
1,36,51,500,18.76,4,4,1,Yes
0,24,31,3500,34.65,3,4,7,No
0,36,30,2000,8.72,4,1,1,No
0,36,67,1300,48.43,4,4,3,No
0,24,28,1000,10.51,4,2,6,No
0,48,26,2000,31.55,3,3,16,No
1,48,40,500,9.33,2,2,1,Yes
0,12,27,2500,45.9,4,3,10,No
0,24,54,3000,19.52,3,1,14,Yes
1,12,33,1500,22.17,5,1,17,Yes
1,36,60,1500,20.22,3,7,10,Yes
0,36,67,2750,16.49,3,1,1,Yes
1,36,31,1500,25.81,4,5,7,No
1,48,43,800,9.96,4,2,7,Yes
1,48,40,4000,29.63,5,6,10,No
0,36,31,700,7.92,5,2,13,Yes
0,24,38,1000,35.08,3,5,8,No
0,36,27,2500,21,4,2,19,No
0,48,29,1090,9.45,3,2,1,Yes
0,36,24,500,2.27,4,2,10,Yes
0,36,31,700,2.54,4,1,1,No
1,24,36,7000,24.38,5,1,18,No
0,48,28,7000,22.23,4,2,15,No
0,36,41,1100,10.09,2,3,9,No
1,24,39,1610,11.26,5,1,19,No
1,36,54,500,36.32,4,6,8,Yes
0,36,44,1000,67.48,2,4,3,Yes
0,12,36,1000,21.2,3,2,1,No
1,12,58,3100,30.83,2,2,17,Yes
0,48,25,3000,28.75,3,3,6,Yes
1,48,42,3000,42.98,5,6,16,Yes
0,48,43,2000,14.46,4,2,1,Yes
0,12,25,1000,52.85,5,4,15,Yes
1,36,35,1500,20.19,4,2,7,No
0,24,47,1500,15.94,5,2,1,No
1,48,28,1300,32.79,4,5,7,No
0,36,39,500,10.41,3,2,7,Yes
0,24,35,4065,57.75,4,5,1,No
1,24,37,700,1.89,4,1,18,No
1,48,39,1500,22.43,3,5,9,Yes
0,12,44,3000,69.82,5,6,9,Yes
1,24,22,2500,17.3,4,2,1,Yes
0,36,31,600,1.99,3,1,4,Yes
1,48,53,1145,11.58,4,1,14,Yes
1,36,29,700,18.43,2,6,1,No
1,36,36,2500,18.45,2,1,3,No
1,48,60,2000,54.72,5,5,17,No
1,24,69,2000,7.71,4,1,1,No
0,36,29,2000,8.8,5,3,10,Yes
1,36,39,1000,13.49,4,4,8,Yes
0,48,29,1500,21.38,5,3,16,No
0,12,35,190,61.1,5,1,1,No
0,24,29,1500,30.95,4,2,17,No
0,36,28,2500,42.55,3,2,8,No
0,12,25,2215,37.6,4,1,15,No
1,12,21,500,5.04,3,1,14,No
1,48,68,9000,37.94,5,3,13,No
0,36,30,3000,36.8,3,4,10,No
0,36,25,2500,4.86,3,1,6,Yes
0,12,28,5565,25.91,2,2,13,No
1,12,50,600,11.24,4,2,17,No
1,36,21,3000,15.15,3,2,18,Yes
1,12,63,3000,50.97,5,7,17,No
0,36,28,2640,54.34,5,8,15,No
0,24,52,1500,4.96,4,1,6,No
1,12,43,500,31.72,4,4,14,No
0,48,35,2500,5.54,4,2,6,No
0,36,60,1000,4.72,3,2,6,Yes
0,36,49,3000,16.09,4,4,7,No
0,12,26,2000,42.32,4,4,6,Yes
0,12,30,1000,6.56,5,1,6,Yes
0,48,39,500,11.84,4,4,11,No
0,24,57,1500,12.56,4,1,3,No
0,24,35,9500,32.33,5,2,4,No
0,48,32,1000,31.47,2,3,7,No
0,48,52,2500,30.97,5,4,15,No
0,36,58,4500,28.44,4,2,17,No
0,36,35,2000,30.98,4,3,3,No
0,36,49,500,8.45,2,2,19,No
1,36,28,1500,6.02,2,1,9,Yes
1,36,39,1100,5.61,5,1,16,No
0,24,37,1000,13.43,5,5,7,No
0,48,37,1500,3.6,3,3,6,No
0,36,37,1600,17.21,5,5,13,No
1,36,32,4500,35.28,3,3,6,No
0,12,27,1000,11.82,3,2,1,Yes
0,48,44,1000,31.73,3,4,19,No
1,36,26,500,11.15,4,3,7,No
1,12,26,500,44.8,5,10,11,No
0,12,29,600,20.99,3,4,15,No
0,48,48,5500,30.96,4,2,7,No
1,36,58,1200,12.35,5,2,16,No
0,48,44,2000,8,3,1,1,Yes
0,12,45,600,41.94,5,6,15,No
1,48,42,600,20.79,3,4,7,No
0,12,37,500,3.17,4,2,6,No
0,36,21,6000,42.34,4,2,9,No
0,48,23,870,38.41,5,3,15,Yes
1,24,51,1000,16.72,5,4,16,No
1,48,37,500,38.82,4,6,16,No
0,12,30,4985,62.42,3,1,12,Yes
0,36,34,900,2.22,3,2,6,Yes
0,48,31,1000,39.98,2,4,3,Yes
1,48,49,4000,55.86,4,4,15,Yes
0,36,26,2500,45.18,4,8,1,No
1,36,37,3070,35.5,5,6,17,No
1,48,55,1600,33.22,4,4,7,No
0,48,46,2700,38.94,3,2,1,No
0,12,29,1000,29.79,4,5,10,No
1,36,32,500,15.29,4,3,17,Yes
0,36,36,2500,21.4,4,2,16,No
0,36,28,1940,30.67,3,2,1,No
0,36,31,500,1.95,5,1,7,No
1,48,41,5000,14.02,4,3,7,Yes
1,36,30,1000,23.67,3,2,14,No
1,24,46,1000,44.59,3,6,9,No
1,12,33,1000,28.74,2,3,1,No
0,36,38,5000,4.23,5,2,13,No
0,12,27,1100,11.39,4,1,8,No
1,48,29,3000,10.32,4,3,17,Yes
1,36,36,1045,22.06,5,3,11,No
1,48,24,2400,11.15,4,3,12,No
0,36,37,2500,5.92,4,1,1,No
1,48,54,3000,5.16,4,2,17,Yes
1,36,30,500,50.71,4,5,7,No
1,36,46,1200,8.94,5,1,7,No
0,24,35,1200,34.82,4,5,5,No
0,36,37,1000,7.71,3,3,14,No
0,48,33,1685,40.04,1,4,1,Yes
1,12,56,1000,15.19,3,1,7,No
1,48,42,1500,34.91,4,5,7,No
1,36,38,2300,18.35,3,2,18,Yes
0,48,61,3000,30.02,4,4,7,No
0,36,29,2600,21.91,4,2,8,No
0,48,28,2500,12.67,5,2,1,No
0,36,34,700,9.26,4,2,6,No
0,48,28,3000,15.29,4,3,8,Yes
1,36,48,1000,6.26,5,3,3,No
1,48,51,500,24.58,4,4,7,No
0,36,53,260,62.57,3,6,14,Yes
0,36,30,510,43.09,3,2,1,Yes
0,36,64,3000,6.33,2,3,6,No
0,48,43,2155,18.07,2,2,1,Yes
1,48,29,1000,15.13,5,3,10,No
1,36,49,1090,58.72,4,7,8,Yes
0,36,37,3000,29.18,5,3,10,No
0,24,30,1500,4.86,5,1,7,No
1,36,67,405,10.17,5,2,1,No
0,12,42,1000,36.25,2,3,6,No
1,36,43,1500,17.58,4,2,1,No
0,48,49,4000,33.33,4,1,3,Yes
1,36,28,1000,33.98,2,2,1,Yes
1,36,26,1200,2.29,4,1,6,Yes
1,36,27,1000,9.15,4,3,16,No
1,12,35,845,12.27,3,1,6,Yes
0,48,33,3000,25.05,4,2,1,Yes
1,36,32,1600,17.35,3,3,16,No
1,48,26,900,25.06,5,7,1,No
0,48,59,500,15.71,3,3,7,No
0,36,28,1000,2.09,4,2,6,No
0,12,35,800,17.04,2,3,8,No
0,36,23,1000,4.66,4,1,10,No
0,12,24,600,46.14,4,2,8,No
1,48,31,500,31.28,5,3,16,No
0,36,27,500,1.79,5,1,4,No
0,36,35,2000,7.65,4,3,15,Yes
1,36,23,700,24.37,2,2,14,Yes
1,36,37,2300,35.24,4,4,3,No
0,36,41,1000,12.98,5,4,13,Yes
2,36,48,1000,4.22,2,2,9,Yes
1,12,41,1900,59.55,5,6,17,No
0,36,24,435,9.9,5,1,10,Yes
0,48,33,1000,14.36,4,2,10,Yes
0,48,39,3000,17.45,5,2,10,Yes
0,36,31,800,28.72,5,9,4,No
1,48,57,2000,44.92,5,7,15,Yes
0,48,49,4000,29.39,3,3,1,No
0,36,64,500,1.5,4,3,17,Yes
0,24,32,350,19.76,2,1,6,Yes
0,24,38,800,20.09,5,5,15,No
0,36,49,800,10.52,4,4,1,No
1,48,48,500,2.07,4,2,11,No
1,36,24,3700,12.83,4,1,7,Yes
0,48,40,5000,18.26,4,3,11,No
1,48,30,2700,14.7,3,3,1,No
1,24,25,2550,41.95,5,2,17,Yes
0,48,32,7000,37.71,4,8,6,Yes
1,48,53,1160,9.77,5,2,16,No
0,48,41,8500,44.42,5,3,12,No
0,48,31,5500,41.36,4,3,13,No
0,12,30,2500,38.65,5,6,15,Yes
1,36,47,500,53.56,3,4,14,No
1,36,48,700,9.06,4,4,15,No
0,48,53,2000,5.18,4,2,6,No
0,36,50,1895,57.11,4,5,8,No
0,24,27,480,22.67,4,1,19,No
1,24,35,3500,36.84,3,2,8,Yes
1,24,30,2000,13.39,4,1,3,No
0,24,47,1500,14.44,4,4,10,No
1,24,52,3000,28.54,4,3,17,No
0,24,41,2300,17.91,5,3,15,No
0,12,32,2500,39.1,3,4,6,No
0,36,21,500,25,2,3,9,No
0,24,43,1420,27.97,5,2,4,Yes
0,12,26,2360,45.9,3,2,6,No
1,24,59,700,21.3,5,6,18,No
1,48,25,500,62.87,4,4,3,No
0,48,47,2500,20.62,3,3,6,No
0,48,37,3000,23.22,4,2,8,No
1,48,35,1500,28.7,5,3,14,No
1,12,60,1000,12.93,3,1,17,No
1,48,44,500,15.81,4,4,1,No
0,24,43,250,27.82,4,2,14,Yes
0,24,46,1395,23.11,5,4,15,Yes
1,36,31,700,5.18,2,1,19,No
0,24,43,3500,18.18,4,5,8,No
1,24,44,1200,9.18,5,3,3,No
1,36,54,2500,44.27,4,4,1,No
0,48,26,1100,26.36,4,3,8,No
0,48,33,1000,17.13,2,2,6,No
0,48,43,3000,38.12,4,2,6,Yes
1,48,35,1000,10.29,2,2,1,No
0,12,35,1500,22.55,5,3,14,No
0,12,22,2500,26.55,3,2,6,Yes
0,24,50,2000,52.29,4,7,8,No
1,48,27,1500,43.66,4,3,9,No
0,12,38,5000,36.16,3,5,2,Yes
0,36,44,500,3.01,3,1,8,No
0,12,34,2500,16.88,5,4,13,No
0,24,39,1265,18.8,3,2,4,Yes
0,48,30,265,21.29,5,3,14,Yes
1,48,40,4000,9.41,5,3,7,Yes
0,36,61,4000,25.07,4,5,13,No
1,24,44,160,8.55,5,1,17,Yes
1,48,40,1500,24.75,4,3,16,Yes
1,48,57,1000,3.19,2,1,1,No
0,24,21,2000,19.11,4,1,13,Yes
1,36,55,500,6.1,5,2,1,No
1,12,56,1595,20.8,2,1,1,Yes
0,48,27,530,31.04,3,3,3,Yes
0,12,30,1060,10.97,3,1,9,No
0,36,38,1595,6.86,3,4,10,Yes
0,12,40,5315,34.03,4,3,8,Yes
0,12,38,3720,20.89,5,2,14,No
0,36,41,600,19.34,5,4,10,No
0,48,39,3190,13.76,2,1,8,Yes
0,48,41,3190,8.8,3,2,1,No
0,36,31,3190,22.53,5,3,1,Yes
1,48,33,3190,30.62,3,3,14,Yes
1,48,39,3720,25.26,3,4,1,Yes
1,48,42,3190,12.93,5,3,1,No
0,48,49,3190,5.32,3,2,10,Yes
0,48,46,3720,7.72,5,1,3,Yes
0,36,33,1060,6.85,3,1,4,No
0,12,39,1595,26.78,4,2,9,No
0,48,44,485,14.74,3,2,1,No
0,12,27,530,20.03,2,3,7,Yes
1,36,50,3190,13.9,5,3,3,No
1,24,61,1595,32.27,4,2,3,No
0,24,22,1910,16.3,4,1,3,No
1,24,43,3190,28.36,3,5,1,Yes
0,12,43,7865,15.2,5,1,11,No
0,48,36,3720,39.9,5,5,8,No
0,24,23,3720,35.23,3,2,6,No
0,36,40,3190,11.8,3,2,3,Yes
1,48,49,3720,16.02,5,5,15,No
0,48,42,4785,57.54,4,8,7,No
1,12,36,1060,12.26,5,2,11,No
1,48,33,405,20.68,5,1,7,Yes
0,12,28,530,68.29,4,8,9,No
0,36,38,4250,15.3,2,2,8,Yes
0,36,26,1910,16.83,3,1,7,Yes
0,48,32,4785,28.31,2,5,1,Yes
1,12,61,6695,13.01,5,3,17,No
1,12,27,635,54.77,5,11,11,Yes
0,36,33,1910,8.86,3,1,11,Yes
0,24,45,4040,48.17,4,3,15,No
0,12,22,3190,26.08,3,2,1,Yes
0,24,49,530,3.74,4,1,1,No
1,12,38,1060,18.72,3,3,6,Yes
1,48,53,1060,32.53,4,5,3,No
1,12,23,1060,14.1,5,2,1,No
1,24,36,335,55.08,4,3,1,No
0,24,59,2655,17.73,4,1,8,No
0,48,43,3190,40.76,4,4,15,No
0,36,47,4250,18.22,4,1,7,No
0,36,67,4250,5.07,5,2,4,No
0,24,21,2125,32.77,4,3,6,No
0,36,34,4250,26.77,4,9,10,No
0,24,32,3720,44.31,4,6,6,No
0,36,57,2125,22.96,4,1,1,No
1,12,27,1060,10.19,4,2,11,No
0,36,35,4250,39.63,5,3,10,No
0,12,27,1060,38.16,4,3,1,No
0,12,49,455,29.86,2,3,6,No
1,36,32,1060,3.78,2,1,8,No
0,12,25,530,12.1,3,3,1,No
0,12,45,1060,20.72,4,5,6,No
0,24,38,3190,19.81,3,2,7,Yes
1,12,27,740,11.86,4,2,1,No
0,12,62,1060,8.99,4,1,1,No
0,24,28,740,20.01,5,3,3,No
0,12,34,530,30.94,4,6,13,No
1,48,50,1380,30.72,4,2,14,Yes
0,12,62,1060,38.47,4,4,3,No
0,12,31,530,31.25,4,4,15,No
1,12,30,635,10.8,3,2,17,Yes
0,12,50,955,62.83,4,6,1,No
0,36,53,635,17,5,2,1,No
0,36,25,530,24.1,3,3,6,No
0,24,29,2125,17.64,4,2,1,Yes
0,36,40,1060,5.32,5,2,7,No
1,12,29,530,32.87,4,4,1,No
0,36,30,1060,12.34,2,3,3,No
1,24,51,2335,14.51,3,2,1,No
1,36,52,530,34.96,4,4,10,No
0,36,27,3190,31.63,5,8,10,No
0,36,30,4075,34.49,3,4,1,No
0,12,26,530,26.73,3,3,8,No
0,48,30,1870,23.92,5,2,7,No
0,24,46,1060,35.16,3,9,8,No
0,12,42,2125,37.94,5,6,10,No
0,12,24,530,26.5,2,3,3,Yes
1,36,24,850,28.09,5,5,17,No
1,24,31,530,19.13,4,3,10,No
0,36,42,3190,5.64,3,1,6,Yes
1,12,57,530,14.16,4,3,1,No
1,12,43,1060,21.4,2,3,3,No
1,36,50,2125,22.26,4,2,14,Yes
0,12,29,740,25,2,5,3,No
1,24,30,1595,14.23,5,4,1,No
1,36,50,3750,46.5,4,3,8,Yes
0,12,31,1060,31.87,5,3,18,No
0,48,29,2125,9.91,3,3,17,Yes
0,12,45,1060,10.23,2,1,7,Yes
1,24,32,1700,19.13,2,2,1,No
0,12,23,530,50.84,4,7,15,Yes
0,48,33,3190,30.88,4,4,1,No
1,48,47,1595,17.4,5,5,17,No
0,36,31,3485,46.66,3,6,1,No
0,12,54,530,9.07,4,1,3,No
1,24,45,1595,4.23,2,1,3,Yes
0,12,33,1060,27.22,4,2,7,Yes
2,12,32,1595,29.89,5,2,9,No
0,48,67,3190,44.77,4,4,14,No
0,24,34,2125,16.06,3,2,8,No
0,48,30,1595,28.55,3,3,15,No
0,12,25,4785,59.39,2,6,9,No
0,12,54,3190,28.53,4,3,8,Yes
1,24,29,530,9.87,4,3,1,No
0,24,34,3190,24.41,4,3,1,No
1,48,33,850,9.07,5,3,15,Yes
1,36,34,3190,39.41,4,7,10,No
1,36,40,9035,59.36,4,7,17,No
0,48,22,740,30.02,4,6,3,No
0,24,29,1595,9.21,3,1,10,No
1,12,53,850,22.1,4,5,10,No
0,24,27,530,29.63,5,5,3,No
0,36,29,1700,6.26,5,2,8,No
0,24,26,2125,38.51,4,2,15,Yes
0,36,40,530,9.56,4,4,19,No
0,36,51,7970,25.79,3,2,6,Yes
0,24,34,1060,9.49,5,2,10,No
1,12,60,1910,56.86,4,7,7,No
0,48,28,5845,32.1,4,1,10,Yes
